Room Type,Room Sub Type
Staff and Admin Areas,Offices (1-person)
Staff and Admin Areas,Offices (2-person)
Staff and Admin Areas,Offices (3-person)
Staff and Admin Areas,Offices (4-person)
Staff and Admin Areas,Offices (exams)
Staff and Admin Areas,Offices (with meeting area)
Staff and Admin Areas,"Offices (with meeting area, 1-person)"
Staff and Admin Areas,"Offices (with meeting area, 2-person)"
Staff and Admin Areas,"Offices (with meeting area, 3-person)"
Staff and Admin Areas,Staff workrooms (technical support staff)
Staff and Admin Areas,Staff workrooms (ICT technicians)
Staff and Admin Areas,Staff workrooms (premises)
Staff and Admin Areas,Offices (pastoral)
Staff and Admin Areas,"Offices (pastoral, 1-person)"
Staff and Admin Areas,"Offices (pastoral, 2-person)"
Staff and Admin Areas,"Offices (SENco, learning support)"
Staff and Admin Areas,Offices (visiting professionals)
Staff and Admin Areas,Staff rooms (prep and social)
Staff and Admin Areas,Staff rooms (social)
Staff and Admin Areas,Staff workrooms (smaller teaching team)
Staff and Admin Areas,Staff workrooms (teaching staff)
Staff and Admin Areas,Staff workrooms (specially resourced)
Staff and Admin Areas,Meeting rooms (conference)
Staff and Admin Areas,Laundries
